jo in add
in add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add push
add push shl
push shl add
shl add mov
add mov add
mov add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add adc
add adc add
adc add add
add add add
add add add
add add add
add add sbb
add sbb add
sbb add add
add add add
add add add
add add add
add add add
add add pop
add pop nop
pop nop add
nop add add
add add xchg
add xchg add
xchg add add
add add add
add add add
add add add
add add inc
add inc xchg
inc xchg jb
xchg jb push
jb push std
push std lea
std lea inc
