jo add jle
add jle add
jle add xchg
add xchg add
xchg add mov
add mov add
mov add les
add les salc
les salc add
salc add in
add in add
in add add
add add or
add or add
or add add
add add add
add add inc
add inc add
inc add dec
add dec add
dec add pushal
add pushal add
pushal add jbe
add jbe add
jbe add nop
add nop add
nop add movsb
add movsb add
movsb add mov
add mov add
mov add ret
add ret add
ret add add
add add add
add add add
add add ljmp
add ljmp add
ljmp add add
add add sub
add sub add
sub add add
add add push
add push add
push add add
add add add
add add enter
add enter aam
enter aam add
aam add loopne
add loopne add
loopne add popal
add popal add
popal add add
add add add
add add bound
add bound add
bound add bound
add bound add
bound add bound
add bound add
bound add add
add add push
add push bound
push bound add
bound add add
add add add
add add and
add and mov
and mov add
mov add bound
add bound add
bound add bound
add bound add
bound add bound
add bound add
bound add bound
add bound add
bound add bound
add bound add
bound add arpl
add arpl add
arpl add arpl
add arpl add
arpl add add
add add xor
add xor add
xor add arpl
add arpl add
arpl add add
add add pop
add pop arpl
pop arpl add
arpl add add
add add jbe
add jbe add
jbe add and
add and mov
and mov add
mov add arpl
add arpl add
arpl add add
add add into
add into arpl
into arpl add
arpl add arpl
add arpl add
arpl add arpl
add arpl add
arpl add arpl
add arpl add
arpl add arpl
add arpl add
arpl add add
add add adc
add adc push
adc push add
push add add
add add cmp
add cmp dec
cmp dec add
dec add pop
add pop add
pop add add
add add add
add add insb
add insb add
insb add jl
add jl add
jl add nop
add nop add
nop add add
add add add
add add push
add push add
push add xor
add xor add
xor add add
add add add
add add add
add add pop
add pop add
pop add add
add add outsb
add outsb add
outsb add add
add add add
add add js
add js add
js add test
add test add
test add add
add add add
add add add
add add shl
add shl add
shl add add
add add mov
add mov add
