nop in add
in add add
add add add
add add add
add add add
add add add
add add add
add add pop
add pop add
pop add add
add add add
add add adc
add adc add
adc add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add adc
add adc add
adc add push
add push add
push add add
add add add
add add add
add add add
add add jo
add jo push
jo push add
push add add
add add sldt
add sldt jo
sldt jo pop
jo pop add
pop add add
add add sbb
add sbb or
sbb or add
or add daa
add daa add
daa add jo
add jo or
jo or add
or add aaa
add aaa add
aaa add jo
add jo or
jo or add
or add pop
add pop add
pop add jo
add jo or
jo or add
or add imul
add imul jo
imul jo or
jo or add
or add add
add add jo
add jo or
jo or xchg
or xchg add
xchg add jo
add jo push
jo push add
push add add
add add cmpsd
add cmpsd add
cmpsd add jo
add jo sldt
jo sldt add
sldt add mov
add mov adc
mov adc add
adc add aad
add aad add
aad add adc
add adc add
adc add stc
add stc add
stc add jo
add jo adc
jo adc add
adc add pop
add pop add
pop add jo
add jo adc
jo adc add
adc add cmp
add cmp add
cmp add adc
add adc add
adc add pop
add pop add
pop add jo
add jo adc
jo adc ja
adc ja add
ja add push
add push add
push add add
add add xchg
add xchg add
xchg add jo
add jo pop
jo pop add
pop add add
add add mov
add mov add
mov add sbb
add sbb add
sbb add mov
add mov sbb
mov sbb add
sbb add iretd
add iretd add
iretd add jo
add jo sbb
jo sbb add
sbb add sbb
add sbb add
sbb add jo
add jo pop
jo pop add
pop add add
add add test
add test add
test add add
add add add
add add add
add add and
add and add
and add add
add add and
add and add
and add add
add add add
add add jae
add jae add
jae add or
add or jae
or jae add
jae add or
add or jae
or jae add
jae add push
add push and
push and add
and add or
add or add
or add or
add or add
or add or
add or sub
or sub add
sub add jae
add jae add
jae add or
add or push
or push sub
push sub add
sub add sub
add sub add
sub add sub
add sub xor
sub xor add
xor add add
add add add
add add add
add add adc
add adc sub
adc sub add
sub add push
add push add
push add sbb
add sbb add
sbb add add
add add sub
add sub add
sub add inc
add inc inc
inc inc add
inc add push
add push jae
push jae add
jae add or
add or add
or add or
add or jle
or jle add
jle add add
add add outsd
add outsd or
outsd or add
or add add
add add add
add add add
add add or
add or add
or add add
add add add
add add add
add add sbb
add sbb add
sbb add sub
add sub add
sub add push
add push inc
push inc adc
inc adc or
adc or jae
or jae add
jae add push
add push or
push or jle
or jle add
jle add add
add add adc
add adc add
adc add adc
add adc push
adc push add
push add add
add add pop
add pop add
pop add add
add add pop
add pop add
pop add push
add push add
push add jle
add jle add
jle add add
add add sbb
add sbb add
sbb add sub
add sub add
sub add push
add push inc
push inc adc
inc adc or
adc or or
or or add
or add add
add add sbb
add sbb add
sbb add add
add add jle
add jle add
jle add add
add add sbb
add sbb add
sbb add sub
add sub add
sub add push
add push inc
push inc adc
inc adc or
adc or inc
or inc sub
inc sub and
sub and add
and add push
add push add
push add or
add or sldt
or sldt or
sldt or add
or add jo
add jo sub
jo sub add
sub add push
add push inc
push inc adc
inc adc sub
adc sub add
sub add add
add add push
add push or
push or jle
or jle add
jle add add
add add xor
add xor add
xor add outsd
add outsd cmp
outsd cmp add
cmp add add
add add add
add add add
add add add
add add sbb
add sbb add
sbb add sub
add sub add
sub add push
add push inc
push inc adc
inc adc sub
adc sub add
sub add push
add push add
push add jle
add jle add
jle add add
add add sbb
add sbb add
sbb add sub
add sub add
sub add push
add push inc
push inc adc
inc adc add
adc add push
add push xor
push xor add
xor add jae
add jae add
jae add or
add or adc
or adc add
adc add add
add add sub
add sub add
sub add push
add push add
