nop cli add
cli add add
add add add
add add dec
add dec add
dec add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add enter
add enter cwde
enter cwde inc
cwde inc add
inc add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add dec
add dec sub
dec sub sub
sub sub sub
sub sub xchg
sub xchg add
xchg add push
add push sub
push sub sub
sub sub add
sub add push
add push sub
push sub inc
sub inc sub
inc sub add
sub add add
add add sub
add sub add
sub add or
add or add
or add add
add add xor
add xor add
xor add add
add add adc
add adc adc
adc adc pavgb
adc pavgb wait
pavgb wait add
wait add add
add add jle
add jle add
jle add add
add add xchg
add xchg add
xchg add add
add add xchg
add xchg add
xchg add add
add add adc
add adc push
adc push add
push add add
add add add
add add daa
add daa add
daa add add
add add sub
add sub add
sub add pop
add pop adc
pop adc add
adc add add
add add cmp
add cmp add
cmp add add
add add adc
add adc add
adc add add
add add and
add and add
and add jle
add jle add
jle add add
add add and
add and add
and add inc
add inc push
inc push push
push push pop
push pop adc
pop adc cmp
adc cmp add
cmp add add
add add push
add push push
push push push
push push sbb
push sbb push
sbb push push
push push pop
push pop jle
pop jle add
jle add add
add add xchg
add xchg add
xchg add or
add or ficom
or ficom jno
ficom jno add
jno add add
add add sbb
add sbb outsd
sbb outsd xchg
outsd xchg add
xchg add or
add or push
or push pop
push pop adc
pop adc lcall
adc lcall add
lcall add push
add push push
push push push
push push pop
push pop adc
pop adc sub
adc sub push
sub push cmp
push cmp pop
cmp pop adc
pop adc sbb
adc sbb push
sbb push dec
push dec inc
dec inc push
inc push inc
push inc push
inc push push
push push pop
push pop adc
pop adc sub
adc sub jle
sub jle add
jle add add
add add dec
add dec jle
dec jle add
jle add add
add add sbb
add sbb outsd
sbb outsd xchg
outsd xchg add
xchg add or
add or add
or add or
add or add
or add push
add push dec
push dec pop
dec pop salc
pop salc push
salc push add
push add push
add push sbb
push sbb sbb
sbb sbb pop
sbb pop salc
pop salc push
salc push push
push push sbb
push sbb push
sbb push pop
push pop or
pop or push
or push push
push push pop
push pop dec
pop dec push
dec push push
push push pop
push pop or
pop or dec
or dec js
