dec jge add
jge add add
add add add
add add add
add add add
add add sbb
add sbb arpl
sbb arpl xchg
arpl xchg iretd
xchg iretd xlatb
iretd xlatb pop
xlatb pop xchg
pop xchg cld
xchg cld add
cld add add
add add add
add add add
add add add
add add or
add or add
or add add
add add push
add push add
push add add
add add add
add add mov
add mov add
mov add cmp
add cmp add
cmp add js
add js add
js add fcom
add fcom add
fcom add enter
add enter or
enter or add
or add call
add call add
call add add
add add add
add add add
add add add
add add add
add add pop
add pop add
pop add add
add add add
add add add
add add add
add add add
add add add
add add add
add add call
add call add
call add add
add add add
add add add
add add add
add add pushal
add pushal add
pushal add add
add add add
add add mov
add mov add
mov add add
add add add
add add add
add add add
add add add
add add add
add add mov
add mov add
mov add add
add add sbb
add sbb xor
sbb xor add
xor add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add fadd
add fadd add
fadd add cmp
add cmp sbb
cmp sbb xor
sbb xor add
xor add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add jo
add jo sbb
jo sbb xor
sbb xor add
xor add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add sub
add sub add
sub add test
add test sbb
test sbb xor
sbb xor add
xor add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add push
add push add
push add add
add add adc
add adc add
adc add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add js
add js add
js add sbb
add sbb sbb
sbb sbb xor
sbb xor add
xor add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add mov
add mov pop
mov pop sbb
pop sbb xor
sbb xor add
xor add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add cmp
add cmp add
cmp add inc
add inc or
inc or add
or add add
add add push
add push add
push add add
add add add
add add and
add and sub
and sub add
sub add jo
add jo add
jo add cwde
add cwde add
cwde add and
add and add
and add clc
add clc or
clc or sub
or sub add
sub add adc
add adc add
adc add cmp
add cmp add
cmp add mov
add mov add
mov add or
add or adc
or adc add
adc add sub
add sub add
sub add push
add push push
push push add
push add js
add js add
js add mov
add mov push
mov push add
push add and
add and add
and add inc
add inc push
inc push add
push add push
add push pop
push pop add
pop add push
add push push
push push add
push add mov
add mov pop
mov pop add
pop add loopne
add loopne add
loopne add or
add or add
or add xor
add xor add
xor add pop
add pop or
pop or add
or add add
add add add
add add js
add js add
js add cwde
add cwde sldt
cwde sldt mov
sldt mov or
mov or sbb
or sbb add
