nop fld add
fld add add
add add add
add add add
add add add
add add add
add add add
add add add
add add and
add and add
and add mov
add mov add
mov add test
add test add
test add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add add
add add cmp
add cmp add
cmp add add
add add push
add push add
push add sub
add sub add
sub add or
add or cmp
or cmp add
cmp add add
add add push
add push add
push add sub
add sub add
sub add sub
add sub cmp
sub cmp add
cmp add add
add add push
add push add
push add add
add add or
add or jae
or jae add
jae add or
add or jae
or jae add
jae add or
add or jae
or jae add
jae add or
add or jae
or jae add
jae add or
add or sub
or sub xor
sub xor add
xor add add
add add add
add add add
add add adc
add adc add
adc add add
add add push
add push jle
push jle add
jle add add
add add sbb
add sbb add
sbb add sub
add sub add
sub add xor
add xor add
xor add add
add add add
add add add
add add adc
add adc add
adc add add
add add push
add push jle
push jle add
jle add add
add add sbb
add sbb add
sbb add sub
add sub add
sub add xor
add xor add
xor add add
add add add
add add add
add add adc
add adc add
adc add add
add add push
add push jle
push jle add
jle add add
add add sbb
add sbb add
sbb add sub
add sub add
sub add xor
add xor add
xor add add
add add add
add add add
add add cmp
add cmp add
cmp add add
add add push
add push jle
push jle add
jle add add
add add sbb
add sbb add
sbb add adc
add adc add
adc add adc
add adc add
adc add add
add add add
add add add
add add push
add push jle
push jle add
jle add add
add add push
add push add
push add or
add or add
or add sbb
add sbb add
sbb add add
add add add
add add adc
add adc add
adc add add
add add push
add push add
push add adc
add adc add
