and jo inc
jo inc add
inc add or
add or pushal
or pushal pop
pushal pop pop
pop pop or
pop or enter
or enter dec
enter dec xor
dec xor and
xor and and
and and and
and and xor
and xor sub
xor sub or
sub or enter
or enter adc
enter adc enter
adc enter or
enter or enter
or enter add
enter add mov
add mov or
mov or add
or add std
add std add
std add mov
add mov call
mov call and
call and add
and add mov
add mov and
mov and mov
and mov mov
mov mov pop
mov pop ret
pop ret xor
ret xor nop
xor nop clc
nop clc pop
clc pop or
pop or hlt
